,date,mp_10yr
1114,1932-06-13,
1115,1932-06-14,
1116,1932-06-15,
1117,1932-06-16,
1118,1932-06-17,
1119,1932-06-20,
1120,1932-06-21,
1121,1932-06-22,
1122,1932-06-23,
1123,1932-06-24,
1124,1932-06-27,
1125,1932-06-28,
1126,1932-06-29,
1127,1932-06-30,
1128,1932-07-01,
1129,1932-07-05,
1130,1932-07-06,
1131,1932-07-07,
1132,1932-07-08,
1133,1932-07-11,
1134,1932-07-12,
1135,1932-07-13,
1136,1932-07-14,
1137,1932-07-15,
1138,1932-07-18,
1139,1932-07-19,
1140,1932-07-20,
1141,1932-07-21,
1142,1932-07-22,
1143,1932-07-25,
1144,1932-07-26,
1145,1932-07-27,
1146,1932-07-28,
1147,1932-07-29,
1148,1932-08-01,
1149,1932-08-02,
1150,1932-08-03,
1151,1932-08-04,
1152,1932-08-05,
1153,1932-08-08,
1154,1932-08-09,
1155,1932-08-10,
1156,1932-08-11,
1157,1932-08-12,
1158,1932-08-15,
1159,1932-08-16,
1160,1932-08-17,
1161,1932-08-18,
1162,1932-08-19,
1163,1932-08-22,
1164,1932-08-23,
1165,1932-08-24,
1166,1932-08-25,
1167,1932-08-26,
1168,1932-08-29,
1169,1932-08-30,
1170,1932-08-31,
1171,1932-09-01,
1172,1932-09-02,
1173,1932-09-06,
1174,1932-09-07,
1175,1932-09-08,
1176,1932-09-09,
1177,1932-09-12,
1178,1932-09-13,
1179,1932-09-14,
1180,1932-09-15,
1181,1932-09-16,
1182,1932-09-19,
1183,1932-09-20,
1184,1932-09-21,
1185,1932-09-22,
1186,1932-09-23,
1187,1932-09-26,
1188,1932-09-27,
1189,1932-09-28,
1190,1932-09-29,
1191,1932-09-30,
1192,1932-10-03,
1193,1932-10-04,
1194,1932-10-05,
1195,1932-10-06,
1196,1932-10-07,
1197,1932-10-10,
1198,1932-10-11,
1199,1932-10-13,
1200,1932-10-14,
1201,1932-10-17,
1202,1932-10-18,
1203,1932-10-19,
1204,1932-10-20,
1205,1932-10-21,
1206,1932-10-24,
1207,1932-10-25,
1208,1932-10-26,
1209,1932-10-27,
1210,1932-10-28,
1211,1932-10-31,
1212,1932-11-01,
1213,1932-11-02,
1214,1932-11-03,
1215,1932-11-04,
1216,1932-11-07,
1217,1932-11-09,
1218,1932-11-10,
1219,1932-11-11,
1220,1932-11-14,
1221,1932-11-15,
1222,1932-11-16,
1223,1932-11-17,
1224,1932-11-18,
1225,1932-11-21,
1226,1932-11-22,
1227,1932-11-23,
1228,1932-11-25,
1229,1932-11-28,
1230,1932-11-29,
1231,1932-11-30,
1232,1932-12-01,
1233,1932-12-02,
1234,1932-12-05,
1235,1932-12-06,
1236,1932-12-07,
1237,1932-12-08,
1238,1932-12-09,
1239,1932-12-12,
1240,1932-12-13,
1241,1932-12-14,
1242,1932-12-15,
1243,1932-12-16,
1244,1932-12-19,
1245,1932-12-20,
1246,1932-12-21,
1247,1932-12-22,
1248,1932-12-23,
1249,1932-12-27,
1250,1932-12-28,
1251,1932-12-29,
1252,1932-12-30,
1253,1933-01-03,
1254,1933-01-04,
1255,1933-01-05,
1256,1933-01-06,
1257,1933-01-09,
1258,1933-01-10,
1259,1933-01-11,
1260,1933-01-12,
1261,1933-01-13,
1262,1933-01-16,
1263,1933-01-17,
1264,1933-01-18,
1265,1933-01-19,
1266,1933-01-20,
1267,1933-01-23,
1268,1933-01-24,
1269,1933-01-25,
1270,1933-01-26,
1271,1933-01-27,
1272,1933-01-30,
1273,1933-01-31,
1274,1933-02-01,
1275,1933-02-02,
1276,1933-02-03,
1277,1933-02-06,
1278,1933-02-07,
1279,1933-02-08,
1280,1933-02-09,
1281,1933-02-10,
1282,1933-02-14,
1283,1933-02-15,
1284,1933-02-16,
1285,1933-02-17,
1286,1933-02-20,
1287,1933-02-21,
1288,1933-02-23,
1289,1933-02-24,
1290,1933-02-27,
1291,1933-02-28,
1292,1933-03-01,
1293,1933-03-02,
1294,1933-03-03,
1295,1933-03-15,
1296,1933-03-16,
1297,1933-03-17,
1298,1933-03-20,
1299,1933-03-21,
1300,1933-03-22,
1301,1933-03-23,
1302,1933-03-24,
1303,1933-03-27,
1304,1933-03-28,
1305,1933-03-29,
1306,1933-03-30,
1307,1933-03-31,
1308,1933-04-03,
1309,1933-04-04,
1310,1933-04-05,
1311,1933-04-06,
1312,1933-04-07,
1313,1933-04-10,
1314,1933-04-11,
1315,1933-04-12,
1316,1933-04-13,
1317,1933-04-17,
1318,1933-04-18,
1319,1933-04-19,
1320,1933-04-20,
1321,1933-04-21,
1322,1933-04-24,
1323,1933-04-25,
1324,1933-04-26,
1325,1933-04-27,
1326,1933-04-28,
1327,1933-05-01,
1328,1933-05-02,
1329,1933-05-03,
1330,1933-05-04,
1331,1933-05-05,
1332,1933-05-08,
1333,1933-05-09,
1334,1933-05-10,
1335,1933-05-11,
1336,1933-05-12,
1337,1933-05-15,
1338,1933-05-16,
1339,1933-05-17,
1340,1933-05-18,
1341,1933-05-19,
1342,1933-05-22,
1343,1933-05-23,
1344,1933-05-24,
1345,1933-05-25,
1346,1933-05-26,
1347,1933-05-29,
1348,1933-05-31,
1349,1933-06-01,
1350,1933-06-02,
1351,1933-06-05,
1352,1933-06-06,
1353,1933-06-07,
1354,1933-06-08,
1355,1933-06-09,
1356,1933-06-12,
1357,1933-06-13,
1358,1933-06-14,
1359,1933-06-15,
