,mean_ret,std_error_nw_ret,tstat_nw_ret,mean_ct,std_error_nw_ct,tstat_nw_ct,mean_chg,std_error_nw_chg,tstat_nw_chg,mean_misp,std_error_nw_misp,tstat_nw_misp
chpmia,-0.009701676761973642,0.010687397802452038,-0.9077679095792391,0.010692126045668032,0.010955094278904901,0.9759958037291162,0.005131946569178932,0.013000961067095567,0.3947359385736101,-0.001625789486949341,0.005696739857006258,-0.28538945568136287
convind,-0.05716646724127238,0.012677948857002163,-4.5091258756497306,0.07605484045713944,0.08963802834022214,0.8484662354293698,-0.45633636550925427,0.2162335402277224,-2.110386598807345,0.40946240251376864,0.02986107908411254,13.712244000305448
currat,-0.009477076983878719,0.0022992242709709114,-4.121858447447912,-0.006503212355853204,0.005716138388759196,-1.137693301590072,-0.004971974015591608,0.01054924460663924,-0.471310904333611,0.0016518977875089667,0.0010732915177681596,1.5390951667483421
depr,-0.13339473151623868,0.04289795743005692,-3.1095823556105775,-0.5591302719969629,0.14890188391649198,-3.755024834410675,-0.9905127189103972,0.3478515031433849,-2.847515994496382,0.3672153740334119,0.04540140416275552,8.08819420467732
divi,-0.055952665467631967,0.01743131968121536,-3.209892681156473,-0.2826352751156787,0.09930394443630668,-2.846163631465418,9.505115268418669,6.192292918057764,1.534991221216322,-0.03477137577719754,0.02838065914140805,-1.2251785839062943
divo,-0.0322439202549597,0.021946303636983498,-1.4692187253174998,-0.08919722790700396,0.11021120827137314,-0.8093299157683995,-0.235163811629267,0.11273164213745542,-2.0860497298755587,-0.09189669120403621,0.027432503036426328,-3.3499200230475115
dy,0.7875199735730017,0.24892442907527534,3.1636909904686528,12.000162490595505,3.8278462886486717,3.13496456902711,25.60356522365674,8.473717039813536,3.021527046909764,-11.11375410602672,0.79833583221947,-13.92115154737467
egr,-0.055124357097589026,0.01318434910836316,-4.181045013638351,0.008185676091794075,0.05159463412956343,0.1586536319113799,-0.8214551171948711,0.38462942560879937,-2.135705337402761,0.2934631115071043,0.021921424198262516,13.387045880457169
ep,0.40259466733794386,0.06557451416399407,6.139499048839347,0.47522330246553124,0.24821135559927462,1.9145913019094765,0.027688967980397033,0.5502629211466546,0.05031952347924501,-1.0084322668908545,0.10872587388354141,-9.274998037458937
gma,0.0662306376296761,0.01907539056003931,3.472046216889601,-0.32367786805362114,0.1699435383202317,-1.904620035883338,-1.2931859631083438,0.5067764026125074,-2.5517880399359134,0.5943576011422311,0.03318083257801318,17.912678946340666
grcapx,-0.009788294719882644,0.001142367546527884,-8.56842856717457,-0.017945999883679627,0.0175034443418727,-1.0252839117354875,-0.08765451214033099,0.037693483748482005,-2.325455315439264,0.01567960457977673,0.002629827271969958,5.9622184114135415
grltnoa,-0.23184075922322303,0.045486451828245955,-5.096918970480254,-0.19100526995948208,0.1618927847319536,-1.1798257116630004,-6.307126096261243,3.72277506139193,-1.6942001577455057,0.9149881363442202,0.06696864212413406,13.662933984060551
herf,-0.10316605596228327,0.05755516335493239,-1.7924726462172764,-0.6356013172119409,0.5456080535516571,-1.1649412303840991,4.483301336363132,3.2570992673499335,1.3764705857463382,-0.0831197596270831,0.05271445737524608,-1.576792473370216
hire,-0.07142175956202386,0.015653376909288145,-4.562706180009298,-0.0015988258287117298,0.09763425762832878,-0.01637566431649527,-0.9041418678574019,0.26723501285775114,-3.3833211381574295,0.5668214197439819,0.03178605016946458,17.832395554717323
invest,-0.18631958996225417,0.050297338833120236,-3.704362781109302,-0.04936702719886422,0.21280780166942054,-0.23197940494471084,-4.55688905847275,2.6780717753761483,-1.701555985306896,0.6268300871717891,0.07341604672657932,8.538052852481547
lev,0.006581731765516288,0.003204764472182196,2.053733378114567,0.05186687290189002,0.029526222262008805,1.756637623385596,0.06816439048801376,0.02538573940307534,2.6851449707923822,-0.0807463812046857,0.007791825738253829,-10.362960353215138
lgr,-0.048356630813937776,0.008774847989085146,-5.510822623262261,0.0074977885155389674,0.03463087084191583,0.21650591894628138,-0.745949241289418,0.3774930013973975,-1.9760611151149163,0.17769574635794602,0.012133196854086741,14.645418556618406
mve_ia,4.345289326054723e-06,4.9181100722076566e-06,0.8835282785983266,-2.2154553367457117e-06,5.11048789061207e-06,-0.4335115128274714,-9.399864585613895e-06,2.2862642250159555e-05,-0.4111451547359227,-1.6865842949609855e-05,2.3556672037825092e-06,-7.15968831358193
operprof,0.14851726406975205,0.016689517367449856,8.898835167001918,0.0718040734014791,0.08815156666757777,0.8145524363991673,-0.4199645298259983,0.32495396523413217,-1.292381613264544,-0.1000748190067153,0.03831543735559381,-2.611866806528962
orgcap,2.021852605656641,0.9989233750529448,2.0240317287094007,-4.476715995566819,6.1197207506129025,-0.7315229204075148,-42.05995894492075,18.900867474496977,-2.2252925164240445,3.826054587148099,1.4036886298514513,2.7257145963724168
pchcapx_ia,-5.628022188038031e-05,0.0007843594577058832,-0.07175309907652584,-0.0004302024058736643,0.006527318745687376,-0.06590798191951337,-0.016701411980312802,0.01118789336703087,-1.4928111515193279,0.00014570692810955232,0.0012904182960626058,0.11291449335005647
pchcurrat,-0.03919460009613535,0.006762439656446453,-5.79592603961681,-0.1472126650829518,0.06297934409412602,-2.3374753611745236,-0.2767908016169696,0.18329861774203196,-1.5100539492693572,-0.005915799010478558,0.011255128917205048,-0.5256091737372663
pchdepr,-0.02109563293141842,0.0076903638939104626,-2.743125451855768,-0.007699340216245738,0.07993545441667109,-0.0963194651538753,0.4364009483499648,0.2755697826678932,1.5836313550963586,0.003114746677826536,0.011341137378817777,0.2746414732303704
pchgm_pchsale,0.004645616678393933,0.00613874855246839,0.7567693380315978,0.07410767122155504,0.04595218209959217,1.612712777402855,0.13174069069414066,0.10513582512783926,1.253052330487266,0.02819355177193498,0.010034760016894096,2.8095890409406414
pchquick,-0.03047610260554925,0.0056976642737729954,-5.348876511702218,-0.10488479108205381,0.053140198685441675,-1.9737372775534638,-0.4279399690815329,0.24760286821794544,-1.728332034929623,0.010510457847995236,0.00911343960316451,1.1532920944958729
pchsale_pchinvt,0.011425697259165913,0.005791198151502809,1.9729418611243614,0.006758756917354755,0.0304187666480141,0.22219036674177592,-0.02244681768459836,0.03949826190384617,-0.5682988719666316,0.0510479406267742,0.007312309286122234,6.981097028220105
pchsale_pchrect,0.032394281382320374,0.004674352733231184,6.930217557614136,0.05514442512532239,0.07134454063301786,0.7729312521468791,0.261705313448639,0.1497927485493188,1.7471160385475761,-0.007795067499876496,0.00879211893969524,-0.8865971392496534
pchsale_pchxsga,0.008644647896683436,0.01832478250597397,0.4717462755077851,0.18550540114802722,0.1903920816399358,0.9743335938668388,-0.6816909582154923,0.28064141476171534,-2.429046186195636,0.24279246325287246,0.03246803892075231,7.477891222364185
